,name,image,architect,year,location,point,notes
10,Big Red Barn,upload.wikimedia.org/wikipedia/commons/f/fe/The_Big_Red_Barn_at_Cornell_University.jpg,Cornell University,1874,135 Presidents Drive,"[-76.480959, 42.448499]",Originally the A.D. White Carriage House. Extended in 1956.
11,Biotechnology Building,upload.wikimedia.org/wikipedia/commons/c/cc/Biotechnology_Building%2C_Cornell_University.jpg,"Davis, Brody",1986,Biology Quad (523 Campus Road),"[-76.47836222, 42.44642621]",
13,Boyce Thompson Institute,upload.wikimedia.org/wikipedia/commons/4/46/Boyce_Thompson_Institute_For_Plant_Research_2.JPG,Ulrich Franzen,1978,533 Tower Road,"[-76.46764, 42.447035]",
14,Bradfield Hall,upload.wikimedia.org/wikipedia/commons/1/1f/Bradfield_Hall_01.jpg,Ulrich Franzen,1968,306 Tower Road,"[-76.475775, 42.447931]",
15,Bruckner Hall,upload.wikimedia.org/wikipedia/commons/f/f8/Bruckner_Hall%2C_Cornell_University.jpg,Carl & Robert Tallman; Carl Larson,1960,208 Mann Drive,"[-76.474077, 42.448324]",
16,Caldwell Hall,upload.wikimedia.org/wikipedia/commons/5/53/Caldwell_Hall%2C_Cornell_University.jpg,Green and Wicks,1913,Ag Quad,"[-76.478261, 42.449222]",
18,Carpenter Hall,upload.wikimedia.org/wikipedia/commons/1/1f/Carpenter_Hall%2C_Cornell_University.jpg,Perkins and Will,1956,Engineering Quad (313 Campus Road),"[-76.484173, 42.444818]",
19,Clark Hall,upload.wikimedia.org/wikipedia/commons/6/61/Clark_Hall_of_Science%2C_Cornell_University.jpg,"Warner, Toan & Lunde",1965,142 Sciences Drive,"[-76.481122, 42.449819]",
20,Computing and Communications Center,upload.wikimedia.org/wikipedia/commons/b/b4/Computing_and_Communications_Center%2C_Cornell_University.jpg,Green and Wicks,1912,Ag Quad (235 Garden Ave.),"[-76.479036, 42.449285]",Originally known as Comstock Hall; similar in design to Caldwell and Rice Halls.
21,Comstock Hall,upload.wikimedia.org/wikipedia/commons/e/e8/COMSTOCK_HALL%2C_CORNELL_UNIVERSITY%2C_TOMPKINS_COUNTY.jpg,Levatich & Hoffman,1985,129 Garden Ave.,"[-76.47933943, 42.44658086]",
22,Cornell Health,upload.wikimedia.org/wikipedia/commons/5/5b/Cornell_Health%2C_Cornell_University.jpg,Conway L Todd,"1956, 1979, 2017",Ho Plaza,"[-76.485558, 42.445832]","Previously known as the Gannett Health Center. Built 1955-56 and designed by Conway L Todd. 1979 addition by Robert Macon Associates. A complete renovation and new addition by Chiang O'Brien along Campus Road was added in 2017 (principal Grace Chiang '80, B.Arch'81)."
24,Cornell Store,upload.wikimedia.org/wikipedia/commons/3/35/Cornell_Store%2C_Cornell_University.jpg,Earl Flansburgh,1970,Ho Plaza,"[-76.48442, 42.44676]",Built underground. Won Progressive Architecture award in January 1969.
25,Corson-Mudd Hall,upload.wikimedia.org/wikipedia/commons/f/fb/Corson_Hall_and_Mudd_Hall_at_Cornell_University.jpg,Hugh Stubbins,Dedicated September 1982,215 Tower Road at Garden Avenue,"[-76.478252, 42.447254]","Includes a four-story atrium, roof-top greenhouses, and 128 research labs."
26,Day Hall,upload.wikimedia.org/wikipedia/commons/d/dc/Cornell_Day_Hall_1.jpg,Frederick L. Ackerman,1947,144 East Avenue,"[-76.483271, 42.447017]",University administration
27,"Dolgen Hall (""ILR Extension Building"")",upload.wikimedia.org/wikipedia/commons/d/d0/Dolgen_Hall_building_at_Cornell_University.jpg,Green and Wicks,1912,140 Garden Ave.,"[-76.480109, 42.447294]","Built in 1911-1912 as an expansion of the Vet school, along with King-Shaw Hall. Rededicated ""Dolgen Hall"" in 2008."
28,Duffield Hall,upload.wikimedia.org/wikipedia/commons/0/09/Duffield_Hall_viewed_from_Engineering_Quadrangle_Cornell_University_%28cropped%29.jpg,Rhoads Siegel,2004,"343 Campus Rd., Engineering Quad","[-76.482571, 42.444667]",
29,East Campus Research Facility,upload.wikimedia.org/wikipedia/commons/f/fe/East_Campus_Research_Facility%2C_Cornell_University.jpg,Ballinger,2007,626 Tower Road,"[-76.465866, 42.446819]",
30,Emerson Hall,upload.wikimedia.org/wikipedia/commons/2/21/Emerson_Hall_tight_view%2C_Cornell_University.jpg,Ulrich Franzen,1968,236 Mann Dr.,"[-76.47581, 42.448384]",
31,Fernow Hall,upload.wikimedia.org/wikipedia/commons/5/5a/Fernow_Hall%2C_Cornell_University.jpg,Green and Wicks,1915,226 Mann Dr.,"[-76.475128, 42.448442]","Similar to Roberts, East Roberts, Caldwell, and old Comstock Halls."
33,"Foundry, The",upload.wikimedia.org/wikipedia/commons/8/82/The_Foundry%2C_Cornell_University.jpg,Charles Babcock,1890,"936 University Avenue, across from Milstein and Sibley","[-76.483532, 42.451518]",Originally housed foundry casting and sand molding equipment and served as a blacksmith shop for the engineering college; part of the Architecture school since 1960.
34,Friedman Wrestling Center,upload.wikimedia.org/wikipedia/commons/8/8d/Friedman_Wrestling_Center%2C_Cornell_University.jpg,CannonDesign,2003,Campus Road,"[-76.474537, 42.445595]","Said to be the ""nation's first dedicated wrestling center."""
35,Gates (Bill & Melinda) Hall,upload.wikimedia.org/wikipedia/commons/b/b3/Bill_%26_Melinda_Gates_Hall%2C_Cornell_University.jpg,Morphosis Architects,2014,107 Hoy Rd.,"[-76.480807, 42.44495]",
36,Goldwin Smith Hall,upload.wikimedia.org/wikipedia/commons/9/9d/Ithaca%2C_NY_08.jpg,Carrère and Hastings,,Arts Quad,"[-76.483473, 42.449063]","The 1892 Dairy Building was incorporated into Goldwin Smith Hall. In 2016, Klarman Hall was built against the rear of Goldwin Smith Hall."
37,Grumman Hall,upload.wikimedia.org/wikipedia/commons/c/c6/Grumman_Hall%2C_Cornell_University.jpg,Perkins and Will,1957,Engineering Quad (134 Rhodes Dr),"[-76.482089, 42.443362]","Similar in style to Phillips (1955), Upson (1956), and Hollister (1957)"
38,Grumman Squash Courts,upload.wikimedia.org/wikipedia/commons/a/a7/Grumman_Squash_Courts%2C_Cornell_University.jpg,"Cornell Univ; Wells, Koetter, Dennis",1953,505 Campus Road,"[-76.479882, 42.444971]",
39,Ho Plaza,upload.wikimedia.org/wikipedia/commons/4/4e/View_of_Ho_Plaza_at_Cornell_University.jpg,Jon Ullberg,1995,Central Campus,"[-76.48507195, 42.44669684]",Central Avenue from Campus Road to Uris Library was converted to a pedestrian mall
40,Hollister Hall,upload.wikimedia.org/wikipedia/commons/1/18/Hollister_Hall%2C_Cornell_University_Engineering_Quadrangle.jpg,Perkins and Will,1957,Engineering Quad (527 College Avenue),"[-76.484547, 42.443989]",DeFrees Hydraulics Laboratory was added in 1982
41,Hughes Hall,upload.wikimedia.org/wikipedia/commons/2/2a/Hughes_Hall_Cornell_University_Law_School.jpg,Eggers & Higgins,1963,Law School (241 Campus Road),"[-76.486349, 42.443679]",Renovated in 2017
42,Human Ecology Building,upload.wikimedia.org/wikipedia/commons/8/89/Human_Ecology_Building_%2C_Cornell_University.jpg,IBI Group,2011,37 Forest Home Drive,"[-76.478616, 42.450482]",
44,Ives Hall,upload.wikimedia.org/wikipedia/commons/6/61/ILRFacade1.JPG,,1998,121 Tower Road,"[-76.481015, 42.447248]",
45,Ives Hall East,upload.wikimedia.org/wikipedia/commons/b/b0/Cornell_ILR_School_-_East_Ives.jpg,Coffin & Coffin,1962,121 Tower Road,"[-76.480709, 42.44694]","Low, horizontal building with flat roof. Formerly the site of the James Law Hall, Veterinary School"
46,Ives Hall West,upload.wikimedia.org/wikipedia/commons/c/c0/Ives_Hall%2C_Cornell_University.jpg,,1962,121 Tower Road,"[-76.481394, 42.447005]",
48,Johnson Museum of Art,upload.wikimedia.org/wikipedia/commons/2/2b/Johnson-museum-of-art-cornell.JPG,Pei,1973,Libe Slope,"[-76.48607233, 42.45072827]",
49,Kennedy Hall,upload.wikimedia.org/wikipedia/commons/a/a7/Kennedy_Hall%2C_Cornell_University.jpg,Gwathmey Siegel & Associates Architects,1990,215 Garden Avenue,"[-76.479259, 42.448094]","The south section is Kennedy, the north section is Roberts. Stone Hall was demolished to make way for this."
50,Kimball Hall,upload.wikimedia.org/wikipedia/commons/b/ba/Kimball_Hall%2C_Cornell_University.jpg,"Shreve, Lamb & Harmon",1951,Engineering Quad (134 Hollister Dr),"[-76.483222, 42.443943]",Eastern Pavilion of Thurston Hall
51,"King-Shaw Hall (""ILR Conference Center"")",upload.wikimedia.org/wikipedia/commons/0/0f/ILRschools6.jpg,Green and Wicks,1912,140 Garden Avenue,"[-76.480076, 42.44694]","Built in 1911-1912 as an expansion of the Vet school. Rededicated ""King-Shaw Hall"" in 2012. Designed after an eighteenth-century colonial estate"
52,Kinzelberg Hall,upload.wikimedia.org/wikipedia/commons/8/8d/Savage_and_Kinzelberg_Halls%2C_Cornell_University.jpg,King & King Architects,1988,244 Garden Avenue,"[-76.479912, 42.449965]",Nutritional Sciences
53,Klarman Hall,upload.wikimedia.org/wikipedia/commons/f/fe/Klarman_Hall_and_East_Avenue%2C_Cornell_University.jpg,"Koetter, Kim and Associates (Alfred H. Koetter Jr., M.Arch. ’66 and Susie Sung-Hea Kim ’71, B.Arch. ’72)",2016,East Avenue,"[-76.48316, 42.44901]",The exterior rear of Goldwin Smith forms the west side wall of Klarman.
54,Kroch Library,upload.wikimedia.org/wikipedia/commons/3/3a/Kroch_Library%2C_Cornell_University.jpg,"Shepley, Bulfinch, Richardson and Abbott",1992,Beneath the Arts Quad,"[-76.48372, 42.44779]","A three-story underground library, accessible through Olin Library."
55,Lincoln Hall,upload.wikimedia.org/wikipedia/commons/8/88/Cornell_Lincoln_Hall_4.jpg,"Charles Babcock, Shepley Bulfinch","1888, 2000",Faces Arts Quad (256 East Ave.),"[-76.483496, 42.450147]",Originally home of civil engineering and architecture; later shared by Theatre Arts and Music; now Music. Major expansion of Lincoln Hall along East Avenue for the Music Department.
57,Livestock Pavilion,,Green and Wicks,1913,48 Judd Falls Rd.,"[-76.470678, 42.446585]",Similar in style to Wing Hall
58,Lynah Rink,upload.wikimedia.org/wikipedia/commons/a/ac/Lynah_Rink%2C_Cornell_University.jpg,"Von Storch, Evans & Burkavage",1956,536 Campus Road,"[-76.477446, 42.445708]",
59,Malott Hall,upload.wikimedia.org/wikipedia/commons/8/83/Cornell_Malott_Hall_1.jpg,"Warner, Burns, Toan & Lunde",1963,"212 Garden Ave., across from Bailey Hall","[-76.480195, 42.448225]",
60,Mann Library building,upload.wikimedia.org/wikipedia/commons/3/38/Cornell_Mann_Library_Exterior_1.jpg,"Cornelius White, Edward Larrabee Barnes","1953, 2000",237 Mann Dr.,"[-76.476343, 42.448793]",
62,Martha Van Rensselaer Hall,upload.wikimedia.org/wikipedia/commons/7/70/Martha_Van_Rensselaer_Hall%2C_Cornell_Univ_Ithaca_NY_USA.jpg,"William Haugaard, John Snyder Architects",1933,,"[-76.478671, 42.450011]",
64,McGraw Hall,upload.wikimedia.org/wikipedia/commons/b/b0/Cornell_McGraw_Hall_1.jpg,Archimedes Russell,1872,Arts Quad (141 Central Ave),"[-76.48543029, 42.44938934]",Originally housed the library and a Museum of Zoology
65,McGraw Tower (University Chimes),upload.wikimedia.org/wikipedia/commons/d/d2/Cornell-McGraw_Tower.jpg,,1891,160 Ho Plaza (part of Uris Library),"[-76.48505278, 42.44755833]","McGraw Tower stands 173 feet tall and contains 131 steps to the clock mechanism, and 30 more steps to the bell loft. The chimes were donated to Cornell by Jennie McGraw in 1868 and installed in McGraw Tower in 1891."
66,Milstein Hall,upload.wikimedia.org/wikipedia/commons/9/95/Milstein_Hall%2C_Cornell_University.jpg,Rem Koolhaas,2011,943 University Avenue,"[-76.483563, 42.451219]","Connects to Rand and Sibley halls, and cantilevers over University Avenue."
67,Morrill Hall,upload.wikimedia.org/wikipedia/commons/8/85/Cornell_Morrill_Hall_photostitch_rectilinear_corrected_May_2009.jpg,Harlow Wilcox & Cyrus K Porter,1868,Arts Quad (159 Central Ave),"[-76.485315, 42.448637]","The first academic building built for Cornell; when the university opened in 1868, Morrill and Cascadilla Hall were the only buildings on campus."
68,Morrison Hall,upload.wikimedia.org/wikipedia/commons/f/f1/Morrison_Hall%2C_Cornell_University.jpg,James MacKenzie,1961,507 Tower Road,"[-76.46926, 42.446301]",Designed to match Riley-Robb Hall
69,Myron Taylor Hall,upload.wikimedia.org/wikipedia/commons/4/47/Cornell_Law_School.JPG,"Jackson, Robertson & Adams, Shepley Bulfinch","1932, 1989",524 College Ave,"[-76.485592, 42.444024]","Addition built in 1987-89 to match Myron Taylor's College Gothic style.  The addition includes a second tower, an atrium, library and office space."
72,Newman (Floyd R.) Laboratory,upload.wikimedia.org/wikipedia/commons/2/25/Newman_Laboratory%2C_Cornell_University-2.jpg,"Skidmore, Owings & Merrill",1947,153 Sciences Drive,"[-76.48044685, 42.45024664]","Opened as ""Laboratory of Nuclear Studies."""
73,Olin Chemistry Research Laboratory,upload.wikimedia.org/wikipedia/commons/c/cd/Olin_Chemistry_Research_Lab%2C_Cornell_University.jpg,"Wank, Adams & Slavin",1967,162 Sciences Drive,"[-76.48125596, 42.45074128]",
74,Olin Hall,upload.wikimedia.org/wikipedia/commons/2/26/Olin_Hall_Chemical_Engineering%2C_Cornell_University.jpg,"Shreve, Lamb & Harmon",1941,113 Ho Plaza,"[-76.484397, 42.445429]",The first Engineering building outside Sibley Hall
75,Olin Library,upload.wikimedia.org/wikipedia/commons/8/86/Cornell_Olin_Library_2.jpg,"Warner, Burns, Toan & Lunde",1960,161 Ho Plaza,"[-76.484241, 42.44785]",Boardman Hall was demolished to create space for Olin Library.
76,Phillips Hall,upload.wikimedia.org/wikipedia/commons/c/c9/Phillips_Hall%2C_Cornell_University.jpg,Perkins and Will,1955,East end of the Engineering Quad; 116 Hoy Rd,"[-76.481992, 42.444511]",
77,Physical Sciences Building,upload.wikimedia.org/wikipedia/commons/1/18/Physical_Sciences_building%2C_Cornell_University.jpg,"Koetter, Kim and Associates (Alfred H. Koetter Jr., M.Arch. ’66 and Susie Sung-Hea Kim ’71, B.Arch. ’72)",2010,245 East Ave,"[-76.481767, 42.449892]",Connects Baker Lab and Clark Hall
78,Plant Science Building and Greenhouses,upload.wikimedia.org/wikipedia/commons/c/c8/Plant_Science_Building_at_Cornell_University.jpg,Sullivan Jones,1930,"East side of Ag Quad, 236 Tower Road","[-76.476992, 42.448343]",
79,Post (Kenneth) Laboratory,upload.wikimedia.org/wikipedia/commons/1/15/Post_Laboratory%2C_Cornell_University.jpg,Charles S Kavecki,1961,512 Tower Road,"[-76.46935278, 42.44789722]",Floriculture and ornamental horticulture
80,Rand Hall,upload.wikimedia.org/wikipedia/commons/3/33/Rand_Hall_at_Cornell_University.jpg,Gibb & Waltz,1912,947 University Ave,"[-76.482892, 42.451229]","Originally contained the machine shop, pattern shop, and electrical laboratory; renovated 2018–2019."
81,Rhodes (Frank H.T.) Hall,upload.wikimedia.org/wikipedia/commons/f/f3/Rhodes_Hall_aka_Theory_Center_at_Cornell_University.jpg,"Gwathmey, Siegel",1990,136 Hoy Rd,"[-76.481356, 42.443425]",
82,Rice Hall,upload.wikimedia.org/wikipedia/commons/f/fe/Rice-hall-cornell.JPG,Green and Wicks,1912,Ag Quad (340 Tower Road),"[-76.474086, 42.447862]","One of the original Ag Quad buildings, in a similar style. Originally named Poultry Building."
83,Riley-Robb Hall,upload.wikimedia.org/wikipedia/commons/b/bc/Riley_Robb_Hall%2C_Cornell_University.jpg,Coffin & Coffin,1956,111 Wing Drive,"[-76.471155, 42.445831]",
84,Roberts Hall,upload.wikimedia.org/wikipedia/commons/f/fa/Roberts_Hall%2C_Cornell_University.jpg,Gwathmey Siegel & Associates Architects,1990,215 Garden Ave,"[-76.47944, 42.448703]","The south section of this structure is known as Kennedy Hall, while the northern end is called Roberts Hall."
85,Rockefeller Hall,upload.wikimedia.org/wikipedia/commons/6/6f/Rockefeller_Hall_at_Cornell_University_%28cropped%29.jpg,Carrère and Hastings,,231 East Avenue,"[-76.481771, 42.448983]",1980 renovation by Levatich & Hoffman
86,Sage Chapel,upload.wikimedia.org/wikipedia/commons/c/c0/Interfaith_chapel_building_at_Cornell_University.jpg,Charles Babcock,1875,147 Ho Plaza,"[-76.484459, 42.447201]",The Sage Memorial Apse was added in 1898. The north transept was added in 1904.
87,Sage Hall,upload.wikimedia.org/wikipedia/commons/1/11/Sage_Hall%2C_Cornell%2C_west_facade.jpg,"Charles Babcock, Hillier Group","1875, 1996-1998",114 East Ave,"[-76.483243, 42.445916]",Renovated for SC Johnson School of Management
89,Savage Hall,upload.wikimedia.org/wikipedia/commons/8/8d/Savage_and_Kinzelberg_Halls%2C_Cornell_University.jpg,Barr & Lane,1945-1948,244 Garden Ave,"[-76.480106, 42.449712]",1988 addition by King & King Architects
90,Schoellkopf Crescent,upload.wikimedia.org/wikipedia/commons/f/f6/Cornell_-_Schoelkopf_Field_-_1922_postcard.jpg,Gibb & Waltz,1914,145 Kite Hill Drive,"[-76.47865685, 42.44403207]",Crescent design with arches was added in 1923.
91,Schoellkopf House,upload.wikimedia.org/wikipedia/commons/7/7c/Schoellkopf_House%2C_Cornell_University.jpg,J Victor Bagnardi,1971,521 Campus Road,"[-76.47917392, 42.44502993]",One-story square building on the east side of Schoellkopf Hall
92,Schoellkopf Memorial Hall,upload.wikimedia.org/wikipedia/commons/2/26/Schoellkopf_Memorial_Hall%2C_Cornell_University.jpg,Gibb & Waltz,1913,521 Campus Road,"[-76.478555, 42.444999]",
93,Schurman Hall,,Isadore Rosenfield,1957,Veterinary School (602 Tower Road),"[-76.466142, 42.447992]",Three-story structure with flat roof
96,Sibley Dome,upload.wikimedia.org/wikipedia/commons/6/61/Cornell_Sibley_Hall.jpg,"Archimedes Russell, Charles Osborne, Gibb and Waltz (Arthur N. Gibb '91)","1871, 1894, 1902",Arts Quad/University Avenue,"[-76.4841, 42.450913]","Sibley Hall was built in three distinct stages as the Sibley College of Mechanical Engineering and the Mechanic Arts. The West building was built first, in three stories; expanded to five in 1884. East Sibley and West Sibley were connected in 1902 by the middle building, which contained a dome, large auditorium, and museum."
97,Snee Hall,upload.wikimedia.org/wikipedia/commons/a/a1/Snee_Hall%2C_at_Cornell_University%2C_Ithaca.jpg,Perkins and Will,1984,Engineering Quad / College Avenue,"[-76.48499067, 42.44360988]","Contains the department of Earth and Atmospheric Sciences, as well as a geology museum."
98,Space Sciences Building,upload.wikimedia.org/wikipedia/commons/3/31/Space_Sciences_Building%2C_Cornell_University.jpg,The Ballinger Company,1967,122 Sciences Drive,"[-76.48113844, 42.44889252]",In 1987 the Ithaca firm Holt Architects added two floors to the top of the building.
99,Statler Hall,upload.wikimedia.org/wikipedia/commons/0/0d/Robert_A._and_Jan_M._Beck_Center%2C_Cornell_University.jpg,,,,"[-76.48215482, 42.44577564]",
100,Statler Hotel,upload.wikimedia.org/wikipedia/commons/0/00/Statler_Hotel%2C_Cornell_University.jpg,David Sheffield (The Architects' Cooperative),1989,130 Statler Dr,"[-76.4822, 42.446374]",The earlier Statler Inn stood on this site; it was demolished and a larger hotel built on the same site in 1989 and rechristened the Statler Hotel.
101,Stimson Hall,upload.wikimedia.org/wikipedia/commons/a/a6/Stimson_Hall%2C_Cornell_University.jpg,William Henry Miller,1902,204 East Avenue,"[-76.483347, 42.447773]","Originally built for the Ithaca Division of the Cornell University Medical College, whose main building was located in New York City."
102,Stocking  Hall West,upload.wikimedia.org/wikipedia/commons/a/af/Stocking_Hall_West%2C_Cornell_University.jpg,Lewis Pilcher,"1923, 2015",411 Tower Road,"[-76.471184, 42.447166]",Beaux-Arts style with mansard roofs; extended 1964; interior renovation by Ulrich Franzen in 1968.
104,Teagle Hall,upload.wikimedia.org/wikipedia/commons/0/00/Teagle_Hall_at_Cornell_University.jpg,Francis Day Rogers and Jonathan Fairchild Butler,1951,512 Campus Road,"[-76.479075, 42.445773]",
105,Thurston Hall,upload.wikimedia.org/wikipedia/commons/c/c8/Thurston_Hall%2C_Cornell_University.jpg,"Shreve, Lamb & Harmon",1951,Engineering Quad (130 Hollister Dr),"[-76.48366, 42.443913]",
106,Olive Tjaden Hall,upload.wikimedia.org/wikipedia/commons/4/46/Olive_Tjaden_Hall%2C_Cornell_University.jpg,Charles Babcock,1883,Arts Quad (909 University Avenue),"[-76.485391, 42.450889]","Originally Franklin Hall, was home to chemistry and physics; later it became the electrical engineering building; renamed for donor and architect Olive Tjaden in 1981. The steeple was damaged by a storm in the 1950s, and restored in September 1997; the building's interior was gutted and renovated at that time."
107,Upson Hall,upload.wikimedia.org/wikipedia/commons/0/0c/Upson_Hall_after_2017_renovation%2C_Cornell_University.jpg,Perkins+Will,1956,SE corner of Engineering Quad (124 Hoy Road),"[-76.482455, 42.443972]",
108,Uris Hall,upload.wikimedia.org/wikipedia/commons/5/5b/Uris_Hall_and_cyclist.jpg,Gordon Bunshaft,1973,Central Campus (109 Tower Road),"[-76.482197, 42.447205]",
109,Uris Library,upload.wikimedia.org/wikipedia/commons/e/e6/Cornell_McGraw_Tower_and_Uris_Library_March09_2.jpg,William Henry Miller,1891,Ho Plaza,"[-76.485366, 42.447751]",
110,Veterinary Medical Center,upload.wikimedia.org/wikipedia/commons/6/62/Veterinary_Medical_Center%2C_Cornell_University.jpg,,1995,930 Campus Road,"[-76.46436471, 42.44739161]",
111,Veterinary Research Tower,,Ulrich Franzen,1974,618 Tower Rd,"[-76.466213, 42.44732]",Reclad and redesigned in 2019 by Weiss/Manfredi
112,Ward Lab,upload.wikimedia.org/wikipedia/commons/c/c5/Ward_Lab%2C_Cornell_University.jpg,Vitro Engineering Company,1963,Engineering Quad (153 Hollister Drive),"[-76.482994, 42.443392]",
113,Warren Hall,upload.wikimedia.org/wikipedia/commons/b/b0/Warren_Hall%2C_Cornell_University.jpg,William Haaughard,1933,Ag Quad (137 Reservoir Ave),"[-76.477098, 42.449213]",1958 addition connected Warren with Mann Library
114,Weill Hall,upload.wikimedia.org/wikipedia/commons/a/ad/Weill_Hall%2C_Cornell_University.jpg,Richard Meier,2008,Biology Quad (237 Tower Road),"[-76.477454, 42.446874]","263,000-square-foot building for the life sciences"
115,White Hall,upload.wikimedia.org/wikipedia/commons/c/c6/Cornell_White_Hall_1.jpg,Harlow M Wilcox & Cyrus K Porter,1866-1869,Arts Quad (123 Central Avenue),"[-76.485405, 42.450255]",
116,Willard Straight Hall,upload.wikimedia.org/wikipedia/commons/0/08/Willard_Straight_Hall%2C_Cornell_University.jpg,William Adams Delano,1925,Ho Plaza,"[-76.485645, 42.446558]","Originally the large north entrance was for men, the smaller south entrance for women. Extension added 1954."
117,Wilson Synchrotron Laboratory,upload.wikimedia.org/wikipedia/commons/c/c6/Wilson_Synchrotron_Laboratory%2C_Cornell_University.jpg,Robert R. Wilson,1967,167 Synchrotron Drive,"[-76.472976, 42.445011]",
118,Wing Hall,upload.wikimedia.org/wikipedia/commons/b/bd/Wing-hall-cornell.JPG,Green and Wicks,1913,Ag Quad (123 Wing Drive),"[-76.471568, 42.446633]",
119,Baker Hall / Baker Tower,upload.wikimedia.org/wikipedia/commons/5/5e/Baker_Tower%2C_Cornell_University.jpg,Frank Miles Day,1913,356 West Ave,"[-76.488153, 42.448928]",
120,Becker (Carl) House,,KieranTimberlake,2006,647 Stewart Ave,"[-76.489555, 42.448208]","Built as part of the ""West Campus Initiative."""
121,Bethe (Hans) House,upload.wikimedia.org/wikipedia/commons/5/53/Hans_Bethe_House%2C_Cornell_University.jpg,KieranTimberlake,2007,314 West Ave,"[-76.488589, 42.447056]","Built as part of the ""West Campus Initiative."""
122,Boldt Hall,upload.wikimedia.org/wikipedia/commons/a/a4/Boldt_Hall.jpg,Charles Klauder,1921,727 University Ave,"[-76.488725, 42.449007]",Day & Klauder designed all the West Campus buildings between 1913 and 1931. The firm was just Klauder after Day died in 1918.
123,Cascadilla Hall,upload.wikimedia.org/wikipedia/commons/7/7c/Cascadilla_Hall%2C_Cornell_University.jpg,Nichols & Brown,1866,115 Cascadilla Place,"[-76.486809, 42.442393]",
125,Collyer Boathouse,upload.wikimedia.org/wikipedia/commons/9/96/Collyer_Boathouse%2C_Cornell_University%2C_on_Cayuga_Inlet.jpg,,1957,685 Third St (on Cayuga Inlet),"[-76.511169, 42.446922]",Expansion and renovation 2010-2011 by HGA Architects
126,Deke House,upload.wikimedia.org/wikipedia/commons/f/fa/DKE_Cornell_Chapter.jpg,William Henry Miller,1893,13 South Ave,"[-76.487122, 42.444561]",Delta Kappa Epsilon fraternity house.
127,Eddy Gate,upload.wikimedia.org/wikipedia/commons/2/2a/Eddy_Gate%2C_Cornell_University.jpg,William Henry Miller,1896,End of Eddy Street behind Cascadilla Hall,"[-76.48747577, 42.44239735]",
128,Founders Hall,upload.wikimedia.org/wikipedia/commons/e/e0/Founders_Hall%2C_Cornell_University.jpg,Frank Miles Day & Charles Zeller Klauder,1914,352 West Ave,"[-76.487976, 42.448433]",Founders Hall was the second of the West Campus men's dormitories (women lived on North Campus). Day & Klauder designed all the West Campus Gothic buildings between 1913 and 1931.
129,Hartung-Boothroyd Observatory,upload.wikimedia.org/wikipedia/commons/3/39/Hartung-Boothroyd_Observatory%2C_Ithaca%2C_NY_%28June_8_2004%29.jpg,,,,"[-76.38458014, 42.45821995]",Used mainly as a teaching facility for upper-level undergraduate astronomy classes
130,Kahin Center (Treman House),upload.wikimedia.org/wikipedia/commons/c/c5/Kahin_Center%2C_Cornell_University.jpg,William Henry Miller,1902,640 Stewart Ave,"[-76.49131667, 42.44799167]",
